'䀉': 0xAAAA
'䀋': 0xAAAB
'䀓': 0xAAAC
'䀕': 0xAAAD
'䀜': 0xAAAE
'䀧': 0xAAAF
'丝': 0xAAB0
'丫': 0xAAB1
'丹': 0xAAB2
'书': 0xAAB3
'亢': 0xAAB4
'仪': 0xAAB5
'伍': 0xAAB6
'伎': 0xAAB7
'似': 0xAAB8
'伽': 0xAAB9
'余': 0xAABA
'佣': 0xAABB
'供': 0xAABC
'侠': 0xAABD
'俺': 0xAABE
'倐': 0xAABF
'們': 0xAAC0
'倔': 0xAAC1
'倩': 0xAAC2
'倿': 0xAAC3
'偄': 0xAAC4
'偋': 0xAAC5
'偘': 0xAAC6
'偞': 0xAAC7
'偡': 0xAAC8
'偧': 0xAAC9
'偶': 0xAACA
'偺': 0xAACB
'傅': 0xAACC
'傌': 0xAACD
'元': 0xAACE
'兢': 0xAACF
'军': 0xAAD0
'冥': 0xAAD1
'净': 0xAAD2
'凄': 0xAAD3
'凌': 0xAAD4
'凑': 0xAAD5
'凭': 0xAAD6
'凹': 0xAAD7
'列': 0xAAD8
'劣': 0xAAD9
'募': 0xAADA
'匿': 0xAADB
'厘': 0xAADC
'叔': 0xAADD
'号': 0xAADE
'吐': 0xAADF
'君': 0xAAE0
'吡': 0xAAE1
'吨': 0xAAE2
'吩': 0xAAE3
'吻': 0xAAE4
'呈': 0xAAE5
'呋': 0xAAE6
'呐': 0xAAE7
'呒': 0xAAE8
'咐': 0xAAE9
'咦': 0xAAEA
'咻': 0xAAEB
'哎': 0xAAEC
'哐': 0xAAED
'哞': 0xAAEE
'哩': 0xAAEF
'哭': 0xAAF0
'唷': 0xAAF1
'啥': 0xAAF2
'啪': 0xAAF3
'喀': 0xAAF4
'喊': 0xAAF5
'喧': 0xAAF6
'喽': 0xAAF7
'嗅': 0xAAF8
'嗖': 0xAAF9
'嗝': 0xAAFA
'嗦': 0xAAFB
'嗬': 0xAAFC
'嘀': 0xAAFD
'嘞': 0xAAFE
'嘟': 0xAAFF
'嘣': 0xAB00
'嘭': 0xAB01
'噜': 0xAB02
'噬': 0xAB03
'噼': 0xAB04
'嚯': 0xAB05
'囊': 0xAB06
'圾': 0xAB07
'坡': 0xAB08
'坦': 0xAB09
'垂': 0xAB0A
'垃': 0xAB0B
'堪': 0xAB0C
'堵': 0xAB0D
'壶': 0xAB0E
'央': 0xAB0F
'夹': 0xAB10
'奉': 0xAB11
'契': 0xAB12
'奠': 0xAB13
'妄': 0xAB14
'委': 0xAB15
'姜': 0xAB16
'姿': 0xAB17
'嫩': 0xAB18
'宅': 0xAB19
'宿': 0xAB1A
'寞': 0xAB1B
'寡': 0xAB1C
'寸': 0xAB1D
'尖': 0xAB1E
'尚': 0xAB1F
'尝': 0xAB20
'屁': 0xAB21
'属': 0xAB22
'屠': 0xAB23
'岩': 0xAB24
'崩': 0xAB25
'崽': 0xAB26
'嵌': 0xAB27
'巡': 0xAB28
'巷': 0xAB29
'帅': 0xAB2A
'广': 0xAB2B
'府': 0xAB2C
'庞': 0xAB2D
'庸': 0xAB2E
'形': 0xAB2F
'怒': 0xAB30
'怘': 0xAB31
'怚': 0xAB32
'怣': 0xAB33
'怤': 0xAB34
'怦': 0xAB35
'恋': 0xAB36
'恕': 0xAB37
'恙': 0xAB38
'恣': 0xAB39
'恥': 0xAB3A
'恫': 0xAB3B
'恮': 0xAB3C
'恺': 0xAB3D
'恻': 0xAB3E
'恾': 0xAB3F
'悄': 0xAB40
'悚': 0xAB41
'您': 0xAB42
'惑': 0xAB43
'惧': 0xAB44
'惨': 0xAB45
'愧': 0xAB46
'慈': 0xAB47
'慎': 0xAB48
'慕': 0xAB49
'慰': 0xAB4A
'憎': 0xAB4B
'憾': 0xAB4C
'懊': 0xAB4D
'扁': 0xAB4E
'扶': 0xAB4F
'抖': 0xAB50
'拐': 0xAB51
'拘': 0xAB52
'拾': 0xAB53
'挠': 0xAB54
'捉': 0xAB55
'捣': 0xAB56
'掐': 0xAB57
'揍': 0xAB58
'插': 0xAB59
'揪': 0xAB5A
'援': 0xAB5B
'揽': 0xAB5C
'搜': 0xAB5D
'摔': 0xAB5E
'擅': 0xAB5F
'操': 0xAB60
'攒': 0xAB61
'旭': 0xAB62
'昔': 0xAB63
'昼': 0xAB64
'晓': 0xAB65
'暖': 0xAB66
'曝': 0xAB67
'枝': 0xAB68
'染': 0xAB69
